Date,DANE.Year.Day,wildfire,DANE,Year,DANEYear,Day,DANE.Year,DUSMASS25,BCSMASS,DMSSMASS,DUSMASS,OCSMASS,SO2SMASS,SO4SMASS,PBLH,SPEED,pop_density,TLML,excess_all_1,excess_all_2,excess_all_3,excess_all_4,excess_all_5,excess_all_6,excess_all_7,excess_all_8,excess_all_10,excess_all_20,excess_all_30
16/01/2022,85001-2022-16,0,85001,2022,850012022,16,85001-2022,6.23170133,0.07493925,5.60E-05,17.62464389,1.383179036,0.035185152,0.271584944,150.7265921,1.877385117,9971.012634,21.90891026,0,1,0,1,1,1,1,0,0,1,1
24/01/2022,85001-2022-24,0,85001,2022,850012022,24,85001-2022,3.122979795,0.095680707,4.59E-05,8.948830065,1.649774761,0.049981827,0.342454082,410.1146564,2.828141151,9971.012634,20.83476766,0,0,1,1,1,1,1,1,1,1,1
15/02/2022,85001-2022-46,1,85001,2022,850012022,46,85001-2022,2.009719909,0.12609506,0.000100624,5.520673817,1.805007577,0.045391425,0.159480063,342.0644106,1.347310193,9971.012634,21.94984947,0,1,1,0,0,0,0,0,0,0,0
23/02/2022,85001-2022-54,1,85001,2022,850012022,54,85001-2022,1.858884785,0.271402761,0.000231734,5.233988162,3.330912935,0.034128768,0.30355652,124.7082951,2.577319301,9971.012634,21.50705128,0,0,0,0,1,1,1,1,1,1,1
25/01/2020,85001-2020-25,0,85001,2020,850012020,25,85001-2020,0.592668525,0.308027125,6.00E-06,1.279113492,3.565524856,0.460085745,1.224295588,537.2118789,3.048107079,9774.963124,23.5066717,1,1,1,1,1,1,1,1,1,1,1
27/01/2020,85001-2020-27,0,85001,2020,850012020,27,85001-2020,1.490357553,0.516351441,4.79E-07,3.183112273,5.925294105,0.232385867,0.746333011,726.2637261,3.382583892,9774.963124,24.67271459,0,0,0,0,0,0,1,1,0,1,1
31/01/2020,85001-2020-31,0,85001,2020,850012020,31,85001-2020,16.55493708,0.479237023,9.92E-05,37.92815355,5.771529432,0.186488948,0.391992609,1276.540278,3.525539895,9774.963124,25.49218225,0,1,1,1,1,1,1,1,1,1,1
24/02/2020,85001-2020-55,1,85001,2020,850012020,55,85001-2020,36.31870317,0.554139292,3.48E-05,85.50693835,7.735770729,0.13064009,0.564185555,946.4339259,2.817812448,9774.963124,25.64700065,1,1,1,1,1,1,1,1,1,1,1
26/02/2020,85001-2020-57,1,85001,2020,850012020,57,85001-2020,11.55012888,0.328423832,1.34E-05,23.2311702,3.213720832,0.268042066,1.035189151,60.03336225,2.453311278,9774.963124,22.64888417,0,1,1,1,1,1,1,1,1,1,1
1/03/2020,85001-2020-61,1,85001,2020,850012020,61,85001-2020,3.797735902,0.534271754,3.49E-06,8.384040142,5.387401202,0.185629666,0.835914172,2277.514678,3.3745704,9774.963124,27.01140008,1,1,1,1,1,1,1,1,1,1,1
